name,occupation,rhodes_scholar
William Miller Macmillan,,1903
John Behan,educationist,1904
Carl Brinkmann,,1904
Lawrence H. Gipson,,1904
Robert L. Henry Jr.,,1904
Stanley Hornbeck,,1904
Worthington Hoskin,,1904
Norman Jolly,,1904
H. G. Merriam,,1904
David Richard Porter,,1904
"Ellis Robins, 1st Baron Robins",,1904
Arthur Stanley Roe,,1904
H. J. Rose,,1904
John C. Sherburne,,1904
Allan Thomson,geologist,1904
John J. Tigert,,1904
Frank Aydelotte,,1905
Beverley Dandridge Tucker Jr.,,1905
Frank Parker Day,,1905
Arthur Motyer,,1905
Talbot Mercer Papineau,,1905
Philip Robertson,chemist,1905
"Roy Robinson, 1st Baron Robinson",,1905
Percival Halse Rogers,,1905
William John Rose,,1905
John Nevin Schaeffer,,1905
Bernadotte Everly Schmitt,,1905
Lutz Graf Schwerin von Krosigk,,1905
Harvey Sutton,,1905
Robert Preston Brooks,,1906
Arnold Seitz,,1906
Ernst Stadler,,1906
Warren Ault,,1907
Marius Barbeau,,1907
Albert van der Sandt Centlivres,,1907
Joseph Gilbert,politician,1907
Colin Gilray,,1907
Reginald Hands,,1907
Clarence H. Haring,,1907
Charles A. Keith,,1907
Alain LeRoy Locke,,1907
Neal Macrossan,,1907
William Ray,medicine,1907
Albrecht von Blumenthal,,1907
Bob Blake,American football,1908
Rhys Carpenter,,1908
Charles Wendell David,,1908
Kingsley Fairbridge,,1908
Philip Hands,,1908
Frank E. Holman,,1908
Philip Le Couteur,,1908
Roy Leitch,,1908
Lennox Broster,,1909
Thomas Davy,politician,1909
Henry Fry,anthropologist,1909
John Gilbert Higgins,,1909
Charles Littlejohn,,1909
Gerrie Maritz,,1909
Stephen Steyn,,1909
Elmer Davis,,1910
Albert R. Ellingwood,,1910
Robert Hale,Maine politician,1910
Kenneth Hands,,1910
Ralph Hartley,,1910
Jan Hendrik Hofmeyr,1894%E2%80%931948,1910
Earnest Hooton,,1910
Edwin Hubble,,1910
Roger Sherman Loomis,,1910
Christopher Morley,,1910
John Crowe Ransom,,1910
John Erskine Read,,1910
Whitney Shepardson,,1910
Kenneth Sisam,,1910
Joseph Clearihue,,1911
Karl G. Karsten,,1911
Jakob Larsen,,1911
Walter C. Lowdermilk,,1911
Cecil Madigan,,1911
John B. McNair,,1911
Fridolin von Senger und Etterlin,,1911
Hugh Ward,bacteriologist,1911
Edmund Herring,,1912
Edmund Britten Jones,,1912
Brand Blanshard,,1913
Henry Brose,,1913
Oliver Carmichael,,1913
Clive Carruthers,,1913
Frank Kerr,footballer,1913
John W. Kyle,,1913
George Bernard Noble,,1913
Vyvyan Pearse,,1913
Georg Rosen,1895%E2%80%931961,1913
Norman Taber,,1913
Harvie Branscomb,,1914
Charles R. Clason,,1914
Jackie de Villiers,,1914
Cyrus Stokes Gentry,,1914
Paul Homan,,1914
Norman Manley,,1914
Wilder Penfield,,1914
Edgar Rochette,,1914
Walter Crawford,,1915
E. V. Gordon,,1915
Wilfrid Kent Hughes,,1915
Henry Grattan Nolan,,1915
F.E. Williams,,1915
Miner Searle Bates,,1916
Edward Berry,soldier,1916
Robert P. T. Coffin,,1916
Malcolm Mercer Hollett,,1916
Howard Rayner,,1916
Hugh Cairns,surgeon,1917
Thane Campbell,,1917
Sherwood Lett,,1917
John O. Moseley,,1917
Kenneth Bailey,lawyer,1918
Guy Blaikie,,1918
Clifford Durr,,1918
Terence MacDermot,,1918
Stanley Pargellis,,1918
Fred Paterson,,1918
Norman McLeod Rogers,,1918
John Monk Saunders,,1918
Jacobus Duminy,,1919
Roland Michener,,1919
Francis Pickens Miller,,1919
Robert Clarkson Tredgold,,1919
Arthur Wesley Wheen,,1919
Bill Airey,,1920
Robert Barbour,cricketer,1920
George Estabrooks,,1920
Keith Hancock,historian,1920
John Marshall Harlan II,,1920
John Nicolson,South African cricketer,1920
F. R. Scott,,1920
Vernon Treatt,,1920
Arthur Vidrine,,1920
Joseph A. Brandt,,1921
Howard Florey,,1921
John Farquhar Fulton,,1921
J. King Gordon,,1921
Loyd Haberly,,1921
Albert C. Jacobs,,1921
Alan Watt,diplomat,1921
George Aitken,rugby union,1922
Bertrand Harris Bronson,,1922
John Lowe,Dean of Christ Church,1922
Lindsay Tasman Ride,,1922
William Stevenson,athlete,1922
Alan Valentine,,1922
Francis Fergusson,,1923
"Robert Hall, Baron Roberthall",,1923
Arnold Heeney,,1923
Leonard Huxley,physicist,1923
David Johnson,Canadian runner,1923
F. O. Matthiessen,,1923
A. Hyatt Mayor,,1923
Edgar McInnis,,1923
Noel Newton Nethersole,,1923
"Arthur Porritt, Baron Porritt",,1923
Norman Robertson,,1923
Charles S. Abbot,,1924
Robert Brode,,1924
William Walton Butterworth,,1924
Hervey M. Cleckley,,1924
James Corry,academic,1924
J. N. Findlay,,1924
Otis Hamilton Lee,,1924
Reginald Sholl,,1924
Donald Alfred Stauffer,,1924
P. R. Stephensen,,1924
Arthur D. Bond,,1925
Jack Dunning,,1925
John Carew Eccles,,1925
J. William Fulbright,,1925
Mason Hammond,,1925
E. Wilson Lyon,,1925
John W. Olmsted,,1925
Douglas V. Steere,,1925
Robert J. Van de Graaff,,1925
William S. Vaughn,,1925
Roland Wilson,economist,1925
Erwin Canham,,1926
Gordon Keith Chalmers,,1926
Eugene Forsey,,1926
John Hood,diplomat,1926
Colin Melville,,1926
Nathan Parker,American football,1926
George Whitecross Paton,,1926
George Pfann,,1926
Karl E. Young,,1926
Noel Bayliss,,1927
Hugh Beadle,,1927
Andrew V. Corry,,1927
Wilfrid Kalaugher,,1927
Myres S. McDougal,,1927
Escott Reid,,1927
William Everett Derryberry,,1928
Bergen Evans,,1928
Clyde Kluckhohn,,1928
Harlan D. Logan,,1928
Holbrook Mann MacNeille,,1928
Ronald Martland,,1928
John Platts-Mills,,1928
Allen Walker Read,,1928
James Sinclair,politician,1928
Pieter van der Bijl,,1928
Robert Penn Warren,,1928
Dixon Wecter,,1928
Armistead L. Boothe,,1929
Cleanth Brooks,,1929
John K. Fairbank,,1929
Frederick L. Hovde,,1929
Malcolm A. MacIntyre,,1929
George Stanley,,1929
George Thomas Washington,,1929
Kenneth Wheare,,1929
Franklin Folsom,,1930
Brian Hone,,1930
Emory Lindquist,,1930
Charles Herbert Little,,1930
E. F. Schumacher,,1930
John Paul Scott,geneticist,1930
Carl Albert,,1931
Charles H. Bonesteel III,,1931
James Elliott Coyne,,1931
Bram Fischer,,1931
James Alexander Gibson,,1931
Alfred Hayes,banker,1931
Ted Jolliffe,,1931
John La Nauze,,1931
Jack Lovelock,,1931
Brian Gilmore Maegraith,,1931
Dean Rusk,,1931
Ferdinand Stone,,1931
Adam von Trott zu Solz,,1931
Samuel Beer,,1932
James Munro Bertram,,1932
Geoffrey Cox,journalist,1932
Charles J. Hitch,,1932
Evelyn Hone,,1932
Willmoore Kendall,,1932
Arthur Larson,,1932
David Lewis,Canadian politician,1932
James McCormack,,1932
Edward McCourt,,1932
W. L. Morton,,1932
Don K. Price,,1932
Howland H. Sargeant,,1932
James Burrowes,,1933
Merrimon Cuninggim,,1933
Wilson Homer Elkins,,1933
Ivan A. Getting,,1933
Lincoln Gordon,,1933
Charlton Hinman,,1933
Francis Leddy,,1933
William McRae,,1933
Thomas C. Mendenhall,historian,1933
Raymond Pruitt,,1933
Dudley Spurling,,1933
Daniel J. Boorstin,,1934
Eugene T. Booth,,1934
Mac Cooper,,1934
Norman Davis,academic,1934
Hedley Donovan,,1934
Max Gluckman,,1934
Chauncy Harris,,1934
Wilbur Jackett,,1934
George C. McGhee,,1934
Patrick McTaggart-Cowan,,1934
Ian Milner,,1934
John B. Oakes,,1934
Thornton Leigh Page,,1934
Lawrence Pyke,,1934
John Templeton,,1934
Charles A. Bane,,1935
Bill Bradfield,,1935
Lionel Cooper,mathematician,1935
John Espey,,1935
Henry Fowler,educator,1935
H. B. Mayo,,1935
Thomas McKeown,physician,1935
Arnold Smith,,1935
Walter H. Stockmayer,,1935
Mervyn Austin,,1936
Gordon A. Craig,,1936
Dan Davin,,1936
Guy Otto Farmer,,1936
George Ignatieff,,1936
Philip Mayer Kaiser,,1936
Richard Luyt,,1936
William Douglas Allen,,1937
Robert S. Babcock,,1937
Roger Gaudry,,1937
Penn Kimball,,1937
John Kenneth Macalister,,1937
Bernard A. Monaghan,,1937
Hilgard Muller,,1937
George Piranian,,1937
Walt Whitman Rostow,,1936
Elvis Jacob Stahr Jr.,,1936
Murat W. Williams,,1936
Howard K. Smith,,1937
Denham Sutcliffe,,1937
Michael Thwaites,,1937
Harlan Cleveland,,1938
Finlay Crisp,,1938
Robert Denoon Cumming,,1938
Leigh Gerdine,,1938
Kermit Gordon,,1938
Ralph Harry,,1938
Lawrence Hogben,,1938
Moses Morgan,,1938
Edgar Ritchie,,1938
Robert Gordon Robertson,,1938
Dietrich von Bothmer,,1938
Edward Weismiller,,1938
Byron White,,1938
Morris B. Abram,,1939
Bob Baker,politician,1939
Charles Collingwood,journalist,1939
Jack Davis,Canadian politician,1939
William Feindel,,1939
Paul G%C3%A9rin-Lajoie,,1939
Edward L. Hart,,1939
John Hodgetts,,1939
Thomas McGrath,poet,1939
Lionel W. McKenzie,,1939
Dom Mintoff,,1939
Fabian O%27Dea,,1939
Erich Vermehren,,1939
Claude Bertrand,neurosurgeon,1940
James Doull,,1940
James George,diplomat,1940
Arthur Harcourt,,1940
Allan Leal,,1940
Ossie Newton-Thompson,,1940
Basil Travers,,1940
Gordon Blair,politician,1941
Zelman Cowen,,1941
Jack Rumbold,,1941
Alan Stewart,educator,1941
Edwin Busuttil,,1942
George Cawkwell,,1946
Francis Patrick Donovan,,1946
Jack Ridley,engineer,1946
Hugh Stretton,,1946
Anthony van Ryneveld,,1946
Roger R. Bate,,1947
Allan Blakeney,,1947
Paul J. Bohannan,,1947
David Candler,,1947
James B. Engle,,1947
Peter W. Fay,,1947
Alastair Gillespie,,1947
James Hester,,1947
George Hilton Jones III,,1947
Nicholas Katzenbach,,1947
Spencer L. Kimball,,1947
Lovraj Kumar,,1947
Marcel Lambert,,1947
Robert Q. Marston,,1947
Bernard W. Rogers,,1947
Nicholas V. Riasanovsky,,1947
Geoffrey Serle,,1947
Edgar F. Shannon Jr.,,1947
William Jay Smith,,1947
Sandy Tatum,,1947
Dudley Thompson,,1947
Stansfield Turner,,1947
Ronald L. Barnard,,1948
William J. Becker,,1948
Eugene Burdick,,1948
Guy Davenport,,1948
John W. Douglas,,1948
Murray Hofmeyr,,1948
Piet Koornhof,,1948
Malcolm McLane,,1948
John McNaughton,government official,1948
Renfrey Potts,,1948
Eric Prabhakar,,1948
Elmer Sprague,,1948
Robert Burchfield,,1949
Creighton Burns,,1949
Barney Childs,,1949
Hugh Alexander Dunn,,1949
Peter Durack,,1949
James Greene,Canadian politician,1949
Oliver Heyward,,1949
G%C3%A9rard La Forest,,1949
Steven Muller,,1949
George Munroe,,1949
Rob Robertson-Cuninghame,,1949
George W. Rogers Jr.,,1949
W. Reece Smith Jr.,,1949
Lewis Salter,,1949
Nelson Ferebee Taylor,,1949
John Turner,,1949
Hector Wynter,,1949
Peter Hamilton Bailey,,1950
James H. Billington,,1950
Max Bingham,,1950
John Brademas,,1950
Lionel Bryer,,1950
Paul-Andr%C3%A9 Cr%C3%A9peau,,1950
Charles Till Davis,,1950
Alan Dowding,,1950
Raghavan N. Iyer,,1950
Robert K. Massie,,1950
Bruce Rosier,,1950
George Steiner,,1950
Tanjore Ramachandra Anantharaman,,1951
Thomas A. Bartlett,,1951
Julien Chouinard,,1951
Lloyd Evans,plant physiologist,1951
Richard N. Gardner,,1951
Allan Gotlieb,,1951
Stuart Hall,cultural theorist,1951
Robert J. Harris,mayor,1951
Tom Harpur,,1951
Kenneth Keniston,,1951
A. Walton Litz,,1951
John Stone,Australian politician,1951
James H. Taylor,,1951
J. Ramsey Bronk,,1952
Howard J. Burnett,,1952
Rawdon Dalrymple,,1952
Alain Enthoven,,1952
James Gobbo,,1952
George Goodman,,1952
Elliott H. Levitas,,1952
H. Ian Macdonald,,1952
John Searle,,1952
Neil Smelser,,1952
Charles Taylor,philosopher,1952
Hugh Templeton,,1952
Ronald Lampman Watts,,1952
Jean Beetz,,1953
Guido Calabresi,,1953
Edward de Bono,,1953
Michael Denborough,,1953
Ronald Dworkin,,1953
John Robert Evans,,1953
Bob Hawke,,1953
Otto Lang,,1953
Julian Ogilvie Thompson,,1953
Frank Wells,,1953
Robert Wells,Canadian politician,1953
Laurie Ackermann,,1954
David Alexander,college president,1954
Brock Brower,,1954
"Leonard Hoffmann, Baron Hoffmann",,1954
Norman Cantor,,1954
Brian Goodwin,,1954
Richard Lugar,,1954
Denis McLean,,1954
Mancur Olson,,1954
Robert Paxton,,1954
Paul Sarbanes,,1954
Francis Slaven,,1954
Dale Vesser,,1954
Diogenes Allen,,1955
D. J. R. Bruckner,,1955
Ranjit Roy Chaudhury,,1955
James Griffin,philosopher,1955
Arthur H. Hayes Jr.,,1955
Verdel Kolve,,1955
Colin Maiden,,1955
John H. Morrison,,1955
Reynolds Price,,1955
Peter H. Russell,,1955
John Winthrop Sears,,1955
Peter Serracino Inglott,,1955
Robert Solomon,politician,1955
"Johan Steyn, Baron Steyn",,1955
Gilbert Strang,,1955
Ian Wilson,politician,1955
Virendra Dayal,,1956
Thomas De Koninck,,1956
Anthony King,political scientist,1956
Arthur Kroeger,,1956
Geoff Miller,diplomat,1956
Willie Morris,,1956
Robert B. Pirie Jr.,,1956
Neil Leon Rudenstine,,1956
Edwin Yoder,,1956
Ranjit Bhatia,,1957
Bob Bilger,,1957
Neal Blewett,,1957
Glen Bowersock,,1957
Antonio Gotto,,1957
Erich S. Gruen,,1957
David Goldbloom,,1975
Griffith R. Harsh,,1975
Roy Hofheinz Jr.,,1957
Chris Maxwell,jurist,1975
Edward J. Nell,,1957
Rex Nettleford,,1957
Robert I. Rotberg,,1957
Aaron Sloman,,1957
Peter Blaikie,,1958
Alexander Fetter,,1958
John V. Fleming,,1958
Yves Fortier,lawyer,1958
Roger Howell Jr.,,1958
Jonathan Kozol,,1958
Kris Kristofferson,,1958
Manmohan Malhoutra,,1958
Mervyn Morris,,1958
Joseph Nye Jr.,,1958
Stephen Clarkson,,1959
Peter M. Dawkins,,1959
